record_id,data_origin,annotation_provenance,provided_sentiment,provided_joy,provided_affection,provided_amusement,provided_surprise,provided_sadness,provided_anger,provided_care_empathy,provided_fear,provided_disgust,provided_approval,provided_sarcasm,provided_confidence
SYN_POST_003383,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003384,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003385,synthetic_augmentation,provided_synthetic_unverified,positive,no,yes,no,no,no,no,no,no,no,no,no,high
SYN_POST_003386,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003387,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003388,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003389,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003390,synthetic_augmentation,provided_synthetic_unverified,positive,no,yes,no,no,no,no,no,no,no,no,no,high
SYN_POST_003391,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003392,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003393,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003394,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003395,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003396,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003397,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003398,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003399,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003400,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003401,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003402,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003403,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003404,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003405,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_003406,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003407,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003408,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003409,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
SYN_POST_003410,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003411,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003412,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
SYN_POST_003413,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003414,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003415,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003416,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003417,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003418,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003419,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003420,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003421,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003422,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003423,synthetic_augmentation,provided_synthetic_unverified,positive,no,yes,no,no,no,no,no,no,no,no,no,high
SYN_POST_003424,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003425,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003426,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_003427,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003428,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003429,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003430,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003431,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003432,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_003433,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_003434,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003435,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003436,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003437,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_003438,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,yes,no,no,no,no,high
SYN_POST_003439,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003440,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003441,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003442,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_003443,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003444,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003445,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003446,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003447,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003448,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003449,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003450,synthetic_augmentation,provided_synthetic_unverified,positive,no,yes,no,no,no,no,yes,no,no,no,no,high
SYN_POST_003451,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003452,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003453,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003454,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,uncertain,no,no,no,no,no,no,medium
SYN_POST_003455,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003456,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003457,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003458,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003459,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003460,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003461,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003462,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003463,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003464,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003465,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003466,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003467,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003468,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003469,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003470,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003471,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003472,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003473,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003474,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003475,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003476,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003477,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,yes,no,no,no,no,high
SYN_POST_003478,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003479,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003480,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003481,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003482,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003483,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003484,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003485,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003486,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003487,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003488,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003489,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003490,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003491,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003492,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003493,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003494,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003495,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003496,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003497,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003498,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003499,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003500,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003501,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003502,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003503,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003504,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003505,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003506,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003507,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003508,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003509,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003510,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003511,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003512,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003513,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003514,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003515,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003516,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003517,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003518,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003519,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003520,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003521,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003522,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003523,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003524,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003525,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003526,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003527,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003528,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003529,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003530,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003531,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003532,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003533,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003534,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003535,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003536,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003537,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003538,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003539,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_003540,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003541,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003542,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003543,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003544,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003545,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
SYN_POST_003546,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003547,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003548,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003549,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003550,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003551,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003552,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003553,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003554,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003555,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
SYN_POST_003556,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003557,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003558,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003559,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003560,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_003561,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003562,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003563,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003564,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003565,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003566,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003567,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003568,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003569,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003570,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003571,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003572,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003573,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003574,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003575,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003576,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003577,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003578,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,yes,no,no,no,no,no,no,no,medium
SYN_POST_003579,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003580,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,uncertain,no,no,no,no,no,no,medium
SYN_POST_003581,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003582,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003583,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003584,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003585,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,yes,no,no,no,no,no,no,no,high
SYN_POST_003586,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003587,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003588,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003589,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_003590,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003591,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003592,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003593,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003594,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003595,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003596,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,medium
SYN_POST_003597,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,medium
SYN_POST_003598,synthetic_augmentation,provided_synthetic_unverified,positive,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003599,synthetic_augmentation,provided_synthetic_unverified,neutral,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003600,synthetic_augmentation,provided_synthetic_unverified,mixed,no,yes,no,no,yes,no,no,no,no,no,no,high
SYN_POST_003601,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003602,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003603,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,no,no,no,no,no,no,no,high
SYN_POST_003604,synthetic_augmentation,provided_synthetic_unverified,positive,yes,no,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003605,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003606,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003607,synthetic_augmentation,provided_synthetic_unverified,mixed,no,no,yes,no,no,no,no,no,no,no,no,high
SYN_POST_003608,synthetic_augmentation,provided_synthetic_unverified,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
SYN_POST_003609,synthetic_augmentation,provided_synthetic_unverified,negative,no,no,no,no,yes,no,no,no,no,no,no,high
